bridge spider	# a large  often found on bridges and near water ().
biscuits and gravy	# en A breakfast dish composed of bread covered in cooked sausage in a sauce
blind spot	# The place where the optic nerve attaches to the retina, and so where the retina cannot detect light.# In driving, the part of the road that cannot be seen in the rear-view mirror.#: ''When he changed lanes, he sideswiped a car that was in his '''blind spot'''.''# In a stadium or en, any location affording those seated or standing there only an obstructed visual or auditory experience.#: ''Our seats turned out to be in a '''blind spot''' behind a pillar blocking our view on the stage.''# en An inability to recognize a fact or think clearly about a certain topic, especially because of a prejudice.#: ''He loves her so much that he has a '''blind spot''' when it comes to her faults.''# en A subject or area about which one is uninformed or misinformed, often because of a prejudice or lack of appreciation.#: ''The new study addresses the '''blind spot''' created by previous research having excluded healthy adult subjects.''# A location where radio reception and/or transmission is significantly poorer than in surrounding locations.
bum around	# en To wander around idle|idly to no purpose; to loaf or loiter.
biocentre	# en Any of a number of institutions, often attached to a university, that are centres for biotechnology research and development
box kick	# to kick the ball in the manner described above.
brachybasidiole	# en A cell that resembles a basidiole but is larger and more inflated.
biometeorological	# Relating to biometeorology.
biopoesis	# en The formation of life from self-replicating, but not living molecules.
bat one's eyes	# en To signal or feign by fluttering one's eyelids, as romantic interest.#: 
Barclaycard	# A global credit card issued by .
blastomycetic	# Related to, or caused by fungus|fungi of the genus Blastomyces
boil up	# en To cook or prepare by boiling.#: ''Can you '''boil up''' the vegetables while I baste the meat?''# en To become more excited, intense or exciting.
beneficence	# An act of philanthropy, a kind deed; an act which benefits someone else.# Good or charitable character or behavior.
big white telephone	# en A toilet, as a receptacle for vomiting.
beneficency	# beneficence
BSN	# en 
BSO	# en Blue stellar object: a radio-quiet quasar.# en British school overseas.# en Bicycle-shaped object: a cheap inferior bicycle.# bright shiny object
bluffing	# A bluff; a false expression of the strength of one's position in order to intimidate.
Bogartian	# Of or relating to  (1899–1957), American actor who became a cultural icon through his performances in 1940s film noir.Category:English eponyms
batwing	# The wing of a bat, or its shape.# Several South- or Southeast Asian species of tailless dark swallowtail butterflies in the genus 
butterbody	# en A woman who has an attractive face but a less attractive body.
battner	# en An ox.#: ''The cove has hushed the '''battner'''''; i.e. has killed the ox.
bologram	# The recorded output of a bolometer
Beowulfian	# Of or pertaining to the Anglo-Saxon epic poem ''''.Category:English eponyms
beotch	# en Prostitute.# en A person who is made to adopt a submissive role in a relationship.
bioengineering	# The applications of the principles of engineering to any of the biological or medical sciences
binucleolate	# en Having two nucleolus|nucleoli.
beam compass	# a device for creating circle|circular curves, which has a central pivot pin, and an outer curb scribing point, connected by a horizontal beam
bonable	# en Able to be or worthy of being boned; sexually attractive.
bridesmaid	# To act as a bridesmaid for; to attend a bride during her wedding ceremony.
bioprosthetic	# bioprosthesis
barology	# en The science of gravity or weight.
biquaternion	# en Any of the numbers <math>w + xi + yj + zk \ \!</math> where ''w'', ''x'', ''y'', and ''z'' are complex numbers and the elements of 1, ''i'', ''j'', ''k''} multiply as in the quaternion group.
bambakion	# en A type of padded under-garment, worn under armour, especially by Byzantine troops.Category:en:Byzantine Empire
backtime	# en To time an item according to the scheduled time of the item that will follow, cutting or padding it as necessary.
buffty	# en An old and eccentric academic.# en A homosexual.# en Someone or something weak or effeminate.
Brezhnevite	# Of or relating to w:Leonid Ilyich Brezhnev|Leonid Ilyich Brezhnev or his policy|policies.
Brunswikian	# Of the psychologist w:Egon Brunswik|Egon Brunswik and his emphases on probability and on an organism's functional relationship with its environment.Category:English eponyms
brevilingual	# en Having a short tongue
biofortification	# The process of increasing the nutritional content of the edible portion of plant foods to levels that consistently exceed the average content observed.
Berkeleyism	# BerkeleianismCategory:English eponyms
Bath coup	# en A coup where the declarer, holding AJx in a suit, ducks the left-hand opponent's lead of a king or queen.
battered sav	# en A saveloy that has been coated in batter and deep fry|deep fried.# en A men's gymnastic move where the gymnast leaps into the air, landing in a push-up position in which his groin touches the floor, or, by extension, any maneuver that results in crushing the male groin.
bimini	# A lightweight cover, usually made of fabric stretched on a metal frame which is readily removable, for the cockpit or deck of a speedboat or sailboat.
bespoused	# married
ballast wagon	# en a hopper wagon used to carry ballast (stone) for railway track maintenance purposes.
benne	# en sesame|Sesame.#: '''''benne''' oil; '''benne''' seed''Category:en:Lamiales order plants
becroggle	# en To cause shock or confusion sufficient to cause brief paralysis.|lang=en|year=1982|first=Marion Zimmer|last=Bradley|authorlink=Marion Zimmer Bradley|title=wikipedia:The Planet Savers|The Planet Savers/wikipedia:Sword of Aldones|Sword of Aldones|chapter=Darkover Retrospective|page=347|passage=When I finally figured out that she was asking if I was sad at not winning a Nebula, I was '''becroggled'''. I finally found my voice and told her that in twenty-five years of reading and writing science fiction, I had heard a hell of a lot of gauche questions, butthat really took the cake.}}
Bacon-Shakespearean	# Pertaining to the Bacon-Shakespeareans and their beliefs.
Bruton's tyrosine kinase	# en A tyrosine-protein kinase that has a role in the development of B cellsCategory:English eponyms
bowing and scraping	# obsequious|Obsequious or deferential behaviour.
biomicrosparite	# en A form of biomicrite in which the micrite has recrystallised to microspar
bewitching	# Enchanting.
bowling club	# A club for people who play bowls.# An establishment with a bowling green and clubhouse, providing food, drink, entertainment, and other services to members.
batterylike	# Resembling a battery.
brachycranic	# brachycephalic
botanical name	# en a formal scientific name, conforming to the ''ICBN''.:: ''Plantae'', ''Betulaceae'', ''Helianthemum'', ''Zea mays'' and ''Stellaria media'' subsp. ''media'' are '''botanical names'''.
bubble sort	# en A sorting algorithm in which pairs of neighboring values are compared and swapped into the right order if necessary in the innermost loop.
beachward	# Towards a beach.|passage=There are also a few corrugating Roton Avenue, as it winds its way '''beachward'''.}}
baroque pop	# en A subgenre of pop music that incorporates elements of classical music.
brodiosaponin	# A particular steroid glycoside.
buck hoist	# An external elevator, especially a temporary one up the side of a building that is under construction or repair.
backswimmer	# Any of various aquatic insects, of the family , that swim on their backs.
banally	# In a banal, trite or boring manner.
bejeebers	# en Mental soundness, wits.
black dwarf	# en a hypothesized white dwarf that has cooled down and no longer emits visible light
bawdry	# The practice of procuring women for the gratification of lust.# Illicit intercourse; fornication.# obscenity|Obscenity; filthy, unchaste language.
black-tie	# Moderately formal; usually requiring a dinner jacket (tuxedo) for men.
Benedictus	# en Either of two canticles that begin with the Latin word benedictus#: Benedictus Dominus Deus Israel#: Benedictus qui venit in nomine Domini# en The music that accompanies these canticles
bedriddenness	# The state or quality of being bedridden.
